iter	Passed	Remaining
0	151	151287
1	152	76204
2	153	51121
3	154	38553
4	155	31036
5	157	26019
6	158	22436
7	159	19736
8	160	17645
9	161	15966
10	162	14634
11	163	13491
12	164	12523
13	166	11701
14	167	10981
15	168	10352
16	169	9804
17	170	9318
18	171	8872
19	172	8468
20	173	8103
21	174	7773
22	175	7474
23	177	7198
24	178	6945
25	179	6709
26	180	6494
27	181	6295
28	182	6104
29	183	5926
30	184	5759
31	185	5605
32	186	5458
33	187	5322
34	188	5195
35	189	5073
36	190	4957
37	191	4848
38	192	4743
39	193	4646
40	194	4552
41	195	4465
42	196	4379
43	197	4297
44	198	4219
45	199	4145
46	200	4074
47	201	4006
48	203	3940
49	204	3877
50	205	3817
51	206	3759
52	207	3702
53	208	3647
54	209	3598
55	210	3548
56	211	3499
57	212	3452
58	213	3406
59	214	3362
60	215	3318
61	216	3276
62	217	3236
63	218	3196
64	219	3158
65	220	3125
66	222	3092
67	222	3051
68	223	3018
69	224	2987
70	225	2957
71	227	2925
72	227	2895
73	229	2865
74	230	2836
75	231	2809
76	232	2781
77	233	2754
78	234	2728
79	235	2703
80	236	2678
81	237	2654
82	238	2630
83	239	2607
84	239	2583
85	241	2561
86	241	2536
87	242	2516
88	243	2496
89	244	2476
90	245	2456
91	246	2437
92	247	2417
93	249	2402
94	250	2387
95	251	2371
96	253	2355
97	254	2339
98	255	2324
99	256	2309
100	257	2295
101	258	2276
102	259	2262
103	260	2247
104	262	2234
105	263	2221
106	264	2207
107	265	2194
108	266	2181
109	268	2169
110	269	2156
111	270	2144
112	271	2131
113	272	2119
114	273	2106
115	274	2093
116	276	2083
117	277	2073
118	278	2061
119	279	2049
120	280	2039
121	281	2027
122	282	2013
123	283	2003
124	284	1993
125	286	1984
126	287	1973
127	287	1961
128	289	1951
129	290	1942
130	291	1932
131	292	1923
132	293	1914
133	294	1906
134	296	1897
135	297	1888
136	298	1879
137	299	1870
138	300	1862
139	301	1854
140	303	1846
141	304	1838
142	305	1830
143	306	1823
144	307	1815
145	309	1807
146	310	1800
147	311	1792
148	312	1784
149	313	1777
150	314	1770
151	316	1763
152	317	1756
153	318	1750
154	319	1742
155	320	1736
156	322	1731
157	324	1727
158	325	1721
159	327	1716
160	328	1711
161	329	1704
162	330	1698
163	332	1692
164	333	1687
165	334	1680
166	335	1674
167	336	1668
168	338	1662
169	339	1656
170	340	1650
171	341	1644
172	342	1638
173	343	1632
174	345	1627
175	346	1621
176	347	1616
177	348	1611
178	350	1606
179	351	1600
180	352	1592
181	353	1587
182	354	1582
183	355	1576
184	356	1571
185	357	1566
186	359	1561
187	360	1556
188	361	1551
189	362	1546
190	364	1541
191	365	1536
192	366	1532
193	367	1527
194	368	1522
195	369	1517
196	371	1512
197	372	1507
198	373	1503
199	374	1498
200	376	1495
201	377	1490
202	378	1485
203	379	1481
204	380	1476
205	382	1472
206	383	1468
207	384	1463
208	385	1459
